Group_A,Group_B,Mean_A,Mean_B,Diff,Pct_Diff,t_stat,p_value,cohens_d,effect_size,significant_05,significant_bonferroni,p_value_fdr,significant_fdr
Google Ads,YouTube,647.6382979326365,640.9001626324305,-6.738135300206068,-1.0404164364144703,0.8408964327926656,0.40040896587305413,-0.006505572502895456,negligible,False,False,0.9785956904883106,False
Google Ads,Instagram,647.6382979326365,639.9950520349182,-7.643245897718316,-1.1801720068310908,0.9642924225844158,0.33490283120956804,-0.007460165249211357,negligible,False,False,0.9785956904883106,False
Google Ads,Website,647.6382979326365,636.8578353194929,-10.78046261314364,-1.6645807771956314,1.3537811181742538,0.17581080166164423,-0.010475900921434227,negligible,False,False,0.9785956904883106,False
Google Ads,Facebook,647.6382979326365,637.9093407103471,-9.72895722228941,-1.5022208003056294,1.2303790964269135,0.21855954866872357,-0.009558306731017988,negligible,False,False,0.9785956904883106,False
Google Ads,Email,647.6382979326365,637.07021748725,-10.5680804453865,-1.6317874466537072,1.3210429531328938,0.1864915527699669,-0.010204594835551356,negligible,False,False,0.9785956904883106,False
YouTube,Instagram,640.9001626324305,639.9950520349182,-0.9051105975122482,-0.1412248974621259,0.11468389293942599,0.9086960262041578,-0.0008875569081460385,negligible,False,False,0.9785956904883106,False
YouTube,Website,640.9001626324305,636.8578353194929,-4.042327312937573,-0.6307265231973317,0.5097943275915989,0.6101972458200197,-0.00394631306823809,negligible,False,False,0.9785956904883106,False
YouTube,Facebook,640.9001626324305,637.9093407103471,-2.9908219220833416,-0.46665956672547143,0.3798762052045965,0.7040385300258419,-0.002952269342428624,negligible,False,False,0.9785956904883106,False
YouTube,Email,640.9001626324305,637.07021748725,-3.8299451451804316,-0.5975884183660263,0.48078275033180157,0.6306724814457235,-0.0037151203241452212,negligible,False,False,0.9785956904883106,False
Instagram,Website,639.9950520349182,636.8578353194929,-3.1372167154253248,-0.4901939015700637,0.4000715436274997,0.6891051031314838,-0.0030969665190668377,negligible,False,False,0.9785956904883106,False
Instagram,Facebook,639.9950520349182,637.9093407103471,-2.0857113245710934,-0.3258949140215066,0.2679201093114222,0.7887616490238856,-0.0020823844426106474,negligible,False,False,0.9785956904883106,False
Instagram,Email,639.9950520349182,637.07021748725,-2.9248345476681834,-0.45700893129851944,0.37122935977817834,0.710467881362954,-0.0028684773478375365,negligible,False,False,0.9785956904883106,False
Website,Facebook,636.8578353194929,637.9093407103471,1.0515053908542313,0.16510833855513796,-0.1344215926636489,0.8930696169091631,0.0010449925127812005,negligible,False,False,0.9785956904883106,False
Website,Email,636.8578353194929,637.07021748725,0.21238216775714136,0.03334844230197709,-0.026829642372629203,0.9785956904883106,0.00020736391231320145,negligible,False,False,0.9785956904883106,False
Facebook,Email,637.9093407103471,637.07021748725,-0.83912322309709,-0.13154270827304082,0.10676308356258997,0.914977257588037,-0.0008284140643461246,negligible,False,False,0.9785956904883106,False
