Group_A,Group_B,Rate_A,Rate_B,Diff,Pct_Diff,odds_ratio,p_value,significant_05,significant_bonferroni,p_value_fdr,significant_fdr
Google Ads,YouTube,0.08007919171713655,0.07976111919479498,-0.00031807252234157535,-0.39719746855725246,1.0043349537771629,0.00038176693619675225,True,True,0.0009544173404918806,True
Google Ads,Instagram,0.08007919171713655,0.0798692818022331,-0.0002099099149034528,-0.2621279141339449,1.0028569505988245,0.01915883060789275,True,False,0.03193138434648792,True
Google Ads,Website,0.08007919171713655,0.08024381486283622,0.0001646231456996633,0.20557543372960238,0.9977698766426608,0.06613674561384436,False,False,0.09920511842076654,False
Google Ads,Facebook,0.08007919171713655,0.08018307183184428,0.00010388011470773006,0.1297217323005275,0.9985916866771017,0.24865843001455015,False,False,0.2869135730937117,False
Google Ads,Email,0.08007919171713655,0.0803194534346154,0.00024026171747884573,0.3000301480658313,0.9967482781429656,0.007278208104357688,True,False,0.013646640195670665,True
YouTube,Instagram,0.07976111919479498,0.0798692818022331,0.00010816260743812256,0.1356081867080684,0.9985283762426274,0.22690002040153348,False,False,0.28362502550191687,False
YouTube,Website,0.07976111919479498,0.08024381486283622,0.00048269566804123865,0.605176648615455,0.9934632593341378,6.892109431062613e-08,True,True,5.169082073296959e-07,True
YouTube,Facebook,0.07976111919479498,0.08018307183184428,0.0004219526370493054,0.5290204567200218,0.9942815222367185,2.71309495094434e-06,True,True,1.0174106066041276e-05,True
YouTube,Email,0.07976111919479498,0.0803194534346154,0.0005583342398204211,0.7000080308011233,0.9924460703018801,4.2581061233841946e-10,True,True,6.387159185076292e-09,True
Instagram,Website,0.0798692818022331,0.08024381486283622,0.0003745330606031161,0.4689325509781213,0.9949274181595629,2.8918174263490916e-05,True,True,8.675452279047275e-05,True
Instagram,Facebook,0.0798692818022331,0.08018307183184428,0.00031379002961118285,0.3928794932552022,0.9957468870119751,0.0004901779139261612,True,True,0.0010503812441274882,True
Instagram,Email,0.0798692818022331,0.0803194534346154,0.0004501716323822985,0.563635508200741,0.9939087300016106,4.884710510437689e-07,True,True,2.4423552552188446e-06,True
Website,Facebook,0.08024381486283622,0.08018307183184428,-6.0743030991933233e-05,-0.07569808476299836,1.0008236468685607,0.5000286587785918,False,False,0.5000286587785918,False
Website,Email,0.08024381486283622,0.0803194534346154,7.563857177918243e-05,0.09426093700614097,0.9989761181174033,0.3980901626154312,False,False,0.4265251742308191,False
Facebook,Email,0.08018307183184428,0.0803194534346154,0.00013638160277111566,0.17008777495719793,0.9981539917077918,0.12940007195057138,False,False,0.17645464356896096,False
